건물이름,건물번호,출처
대학본관,1,https://www.deu.ac.kr/www/content/14
법정관,2,https://www.deu.ac.kr/www/content/14
상경관,3,https://www.deu.ac.kr/www/content/14
국제관,5,https://www.deu.ac.kr/www/content/14
동의스포츠센터,6,https://www.deu.ac.kr/www/content/14
상영관,7,https://www.deu.ac.kr/www/content/14
수덕전,8,https://www.deu.ac.kr/www/content/14
제1인문관,9https://www.deu.ac.kr/www/content/14
제2인문관,10,https://www.deu.ac.kr/www/content/14
효민체육관,11,https://www.deu.ac.kr/www/content/14
중앙도서관,12,https://www.deu.ac.kr/www/content/14
여대생커리어개발관,13,https://www.deu.ac.kr/www/content/14
제2효민생활관,14,https://www.deu.ac.kr/www/content/14
의료보건관,15,https://www.deu.ac.kr/www/content/14
생활과학관,16,https://www.deu.ac.kr/www/content/14
음악관,17,https://www.deu.ac.kr/www/content/14
창의관,18,https://www.deu.ac.kr/www/content/14
지천관,19,https://www.deu.ac.kr/www/content/14
산학협력관,20,https://www.deu.ac.kr/www/content/14
건윤관,21,https://www.deu.ac.kr/www/content/14
공학관,22,https://www.deu.ac.kr/www/content/14
정보공학관,23,https://www.deu.ac.kr/www/content/14
제1효민생활관,24,https://www.deu.ac.kr/www/content/14
학생군사교육단,25,https://www.deu.ac.kr/www/content/14
행복기숙사,26,https://www.deu.ac.kr/www/content/14
