건물번호,층수,내용
1,B1,기사대기실
1,B1,문서고
1,B1,일반창고
1,1,사무처장실
1,1,장학지원팀
1,1,총무팀
1,1,경리팀
1,1,학자금대출상담실
1,1,회의실
1,1,국민은행출장소
1,1,당직실
1,2,이사장실
1,2,총장실
1,2,부속실
1,2,회의실
1,3,교학부총장실
1,3,대회부총장실
1,3,교무처장실
1,3,학생복지처장실
1,3,기획처장실
1,3,입학홍보처장실
1,3,대외협력처장실
1,3,교육혁신처장실
1,3,인재개발처장실
1,3,산학협력단장실
1,3,입학관리팀
1,3,입학사정관팀
1,3,부속실
1,3,서류평가실
1,3,상담실
1,3,입시본부
1,4,관리처장실
1,4,교무팀
1,4,예산팀
1,4,구매팀
1,4,홍보팀
1,4,대회협력팀
1,4,국제교류팀
1,4,유학생관리팀
1,4,다문화사회통합센터
1,4,유학생상담실
1,4,인사평가팀
1,4,관제팀
1,4,시설관리팀
1,4,안전관리팀
1,4,문서고
1,5,교수연구실
1,5,상경대학PC실습실
1,5,세미나실
1,5,구학제
1,5,문서고
1,6,대학원 원장실
1,6,기획부처장실
1,6,감사실장실
1,6,행정감사팀
1,6,기획팀
1,6,대학원 행정지원실
1,6,작원협의회 사무실
1,6,회의실
1,6,대학원동문회
1,7,국제협력센터
1,7,기술이전센터
1,7,LINC+ 화상회의실
1,7,회의실
1,7,감사실
1,8,LINC+사업단 단장실
1,8,산학협력단(산학기획팀,연구지원팀, 재무회계팀, 연구감사팀)
1,8,LINC+사업단(산학교육지원센터, 기업협력센터, 지역상생센터, 사업지원팀)
1,8,LINC+사업단 산학협력교원실
2,B1,인문사회과학대학 내 학과 학회실
2,B1,학습실
2,B1,정보검색실 
2,B1,정독실
2,1,부동산대학원 원장실
2,1,동의지천교양대학 학장실
2,1,동의지천교양대학 행정지원실
2,1,부동산대학원 행정지원실
2,1,인문사회과학대학 행정분소
2,1,교수연구실
2,1,외래교수실
2,1,강의실
2,1,실습실
2,1,PRIME학습실
2,2,교수연구실
2,2,강의실
2,2,실습실
2,2,디그니타스교양교육연구소
2,2,휴게실
2,3,법·경찰행정학부(법학전공, 경찰행정학전공)
2,3,소방방재행정학과
2,3,공공인재학부(행정정책학전공, 사회복지학전공) 사무실
2,3,교수연구실
2,3,강의실
2,4,교수연구실
2,4,강의실
2,4,지방자치연구소
2,5,교수연구실
2,5,강의실
2,5,실습실
2,5,고시반
2,5,정보검색실
3,1,상경대학 학생회실
3,1,체육학과
3,1,레저스포츠태권도학부(레저스포츠학전공, 태권도학전공) 학회실
3,1,학생휴게실
3,1,편의점
3,1,학사지원팀
3,2,체육학과 레저스포츠태권도학부(레저스포츠학전공, 태권도학전공) 사무실
3,2,교수연구실
3,2,멀티미디어강의실
3,2,강의실
3,2,체육학과 대학원세미나실
3,3,교수연구실
3,3,멀티미디어 강의실
3,3,강의실
3,4,무역·유통학부(무역학전공)
3,4,경제·금융보험·재무부동산학부(경제학전공, 금융보험학전공, 무역학전공) 사무실
3,4,교수연구실
3,4,멀티미디어강의실
3,4,대학원 원우회실
3,5,기획평가실장실
3,5,교수연구실
3,5,지방대학혁신역량강화 e-learning 강의실
3,5,멀티미디어 강의실
3,5,상경대학 외래교수실
3,6,교수연구실
3,6,강의실
3,6,스포츠과학연구소
3,6,대학평의회
5,1,식당
5,1,편의점
5,1,상경대학 학생회실
5,1,상경대학 내 학과 학회실
5,1,자유열람실
5,2,석당아트홀
5,2,효민갤러리
5,2,화상회의실
5,3,상경대학학장실
5,3,경영대학원원장실
5,3,상경대학부학장실
5,3,경영대학원부원장실
5,3,상경대학
5,3,경영대학원 행정지원실
5,3,세미나실
5,3,휴게실
5,3,상경대학 외래교수실
5,3,경제경영전략연구소
5,3,자치실
5,4,멀티미디어강의실,강의실
5,5,부동산금융·자산경영학과 사무실
5,5,교수연구실
5,5,멀티미디어강의실
5,5,유통물류학 전공 대학원 연구실
5,6,경영학부(경영학전공, 회계학전공) 사무실
5,6,교수연구실
5,6,컴퓨터실습실
5,6,기기운영실
5,7,정보경영학부(경영정보학전공, e비즈니스학전공) 사무실
5,7,교수연구실
5,7,컴퓨터실습실
5,7,기기운영실
5,8,무역·유통학부(유통물류학전공)
5,8,호텔관광외식경영학부(국제관광경영학전공
5,8,호텔·컨벤션경영학전공, 외식산업경영학전공) 사무실
5,8,교수연구실
5,8,강의실
5,8,호텔실습실
5,8,조리실
5,8,카지노실습실
5,8,유통물류연구소
5,9,호텔·컨벤션홀
5,9,교수연구실
5,9,멀티미디어 강의실
5,9,강의실
5,9,관광컨벤션연구
7,1,스쿼시장
7,1,동아리방
7,1,서점
7,1,신문사 및 교육방송국등이 위치
7,1,보건진료소
7,1,동의대신문사
7,1,교육방송국
9,1,인문사회과학대학 휴게실
9,1,창고
9,2,강의실
9,2,실습실
9,2,콜라보학습실
9,2,세미나실
9,3,미디어·광고학부(신문방송학전공, 광고홍보학전공) 사무실
9,3,교수연구실
9,3,강의실
9,3,실습실
9,3,편집실
9,3,영상제작스튜디오
9,4,교수연구실
9,4,강의실
9,4,실습실
9,5,문헌정보학과
9,5,평생교육·청소년상담학과 사무실
9,5,교수연구실
9,5,강의실
