건물명,층수,편의시설,출처
대학본관,1층,국민은행 출장소 및 ATM기,https://www.deu.ac.kr/www/content/57
법정관,B1층,"휴게실, 정독실, 정보검색실",https://www.deu.ac.kr/www/content/57
법정관,1층,PRIME 학습실,https://www.deu.ac.kr/www/content/57
법정관,2층,사물함보관실 및 휴게실,https://www.deu.ac.kr/www/content/57
상경관,1층,"학사지원팀, 증명서 발급기",https://www.deu.ac.kr/www/content/57
상경관,2층,"예술디자인체육대학 통합행정지원실 분소, Study Cafe, 편의점",https://www.deu.ac.kr/www/content/57
국제관,1층,"학습실, 편의점, 터틀즈컵밥, SUBWAY(음식점), 복사점, 국민은행 ATM기",https://www.deu.ac.kr/www/content/57
국제관,2층,상경대학 통합행정지원실,https://www.deu.ac.kr/www/content/57
동의스포츠센터,1층,헬스장,https://www.deu.ac.kr/www/content/57
동의스포츠센터,2층,남•여 샤워장,https://www.deu.ac.kr/www/content/57
상영관,2층,"보건진료소, 서점, 학생지원팀, 장애학생지원센터",https://www.deu.ac.kr/www/content/57
상영관,4층,소강당,https://www.deu.ac.kr/www/content/57
학생회관(수덕전),1층,"학생식당, 커피 골든벨",https://www.deu.ac.kr/www/content/57
학생회관(수덕전),2층,"우체국, 사진관, 문구점, 안경점, 복사점, 스넥코너, 휴게실, 국민은행 및 우체국은행 ATM기, 편의점 ",https://www.deu.ac.kr/www/content/57
학생회관(수덕전),3층,"미용실, 동아리실",https://www.deu.ac.kr/www/content/57
학생회관(수덕전),4층,동아리실,https://www.deu.ac.kr/www/content/57
학생회관(수덕전),5층,대강당,https://www.deu.ac.kr/www/content/57
제2인문관,1층,"PRIME학습실(休마니티즈), 편의점, 복사점",https://www.deu.ac.kr/www/content/57
제2인문관,3층,인문사회과학대학 통합행정지원실,https://www.deu.ac.kr/www/content/57
효민체육관,B1층,"무용실, 체조실",https://www.deu.ac.kr/www/content/57
효민체육관,1층,"농구장, 배드민턴장, 배구장, 핸드볼장, 샤워장",https://www.deu.ac.kr/www/content/57
중앙도서관,1층,"석당콜라보라운지, VR, AR체험교육장, 그룹스터디룸, CIC룸, 제1열람실",https://www.deu.ac.kr/www/content/57
중앙도서관,2층,"북카페, 그룹스터디룸",https://www.deu.ac.kr/www/content/57
중앙도서관,4층,책마루(옥외휴게실),https://www.deu.ac.kr/www/content/57
중앙도서관,4~5층,카페 그라지에,https://www.deu.ac.kr/www/content/57
여대생커리어개발관,2층,"세탁실, 건조실, 휴게실, 헬스장",https://www.deu.ac.kr/www/content/57
여대생커리어개발관,3층,정독실,https://www.deu.ac.kr/www/content/57
제2효민생활관,B1층,"헬스장, 세탁실, 건조실, 탁구장",https://www.deu.ac.kr/www/content/57
제2효민생활관,1층,"학생식당, 정독실, 휴게실",https://www.deu.ac.kr/www/content/57
제2효민생활관,2층,편의점,https://www.deu.ac.kr/www/content/57
의료보건관,3층,의료·보건·생활대학 & 예술디자인체육대학 통합행정지원실,https://www.deu.ac.kr/www/content/57
생활과학관,1층,"편의점, 휴게실, 복사점, 헌혈의 집",https://www.deu.ac.kr/www/content/57
생활과학관,5층,"Study Cafe, BH-혁신공유라운지",https://www.deu.ac.kr/www/content/57
창의관,B1층,"휴게실, 인터넷카페, 복사점",https://www.deu.ac.kr/www/content/57
창의관,1층,"PRIME세미나실, 대학일자리플러스센터, 취업지원팀",https://www.deu.ac.kr/www/content/57
창의관,2층,"PRIME학습실, 학생상담센터(성의롱성폭력상담실), 예비군연대",https://www.deu.ac.kr/www/content/57
창의관,5층,공과대학 통합행정지원실 분소,https://www.deu.ac.kr/www/content/57
지천관,1층,"휴게실, 터틀즈스낵바, 카페 HOLLYS, 편의점, 카페 스파지오,맘스터치, 청춘쌀핫도그, 국민은행 ATM기",https://www.deu.ac.kr/www/content/57
산학협력관,4층,PRIME학습실,https://www.deu.ac.kr/www/content/57
산학협력관,5층,ICT공과대학 통합행정지원실,https://www.deu.ac.kr/www/content/57
공학관,B1층,"PRIME학습실(이노리움), 편의점, 복사점, 휴게실",https://www.deu.ac.kr/www/content/57
공학관,1층,"PRIME학습실, 국민은행 ATM기",https://www.deu.ac.kr/www/content/57
공학관,2층,공과대학 통합행정지원실,https://www.deu.ac.kr/www/content/57
정보공학관,2층,"학생식당, 편의점, 휴게실",https://www.deu.ac.kr/www/content/57
정보공학관,3층,창업지원실 스터디룸,https://www.deu.ac.kr/www/content/57
정보공학관,4층,PRIME 학습실,https://www.deu.ac.kr/www/content/57
제1효민생활관,1층,"학생식당, 탁구장",https://www.deu.ac.kr/www/content/57
제1효민생활관,2층,"휴게실, 헬스장, 매점, 세탁실, 정독실, 건조실",https://www.deu.ac.kr/www/content/57
행복기숙사,B1층,"세미나실, 정독실, 헬스장, 탁구장, 세탁실, 건조실, 다림실",https://www.deu.ac.kr/www/content/57
행복기숙사,1층,"무인택배실, 휴게실, 학생식당, 편의점, 카페 투썸플레이스",https://www.deu.ac.kr/www/content/57
